"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.697265630E-1,-1.446529388E0,-1.096605301E0,-1.512078285E0
9.746398930E-1,-1.181585312E0,-8.905363083E-1,-1.833546638E0
9.795837410E-1,-9.290012717E-1,-7.460846901E-1,-2.215013504E0
9.844970710E-1,-6.012461185E-1,-6.759643555E-1,-2.567078590E0
9.894104010E-1,-4.482007325E-1,-6.990599632E-1,-2.855507374E0
9.943542480E-1,-2.148590684E-1,-8.023262024E-1,-3.024868965E0
9.992675780E-1,2.036427259E-1,-7.661924362E-1,-3.078733444E0
1.004180909E0,9.249863625E-1,-6.598234177E-1,-3.002432823E0
1.009094239E0,1.787420034E0,-4.781026840E-1,-2.851819038E0
1.014038086E0,2.623760223E0,-2.218408585E-1,-2.667082787E0
1.018951416E0,3.263812542E0,1.392030716E-1,-2.436768532E0
1.023895264E0,3.747174025E0,4.243292809E-1,-2.243710995E0
1.028808594E0,4.136776924E0,5.063443184E-1,-1.977468014E0
1.033721924E0,4.840510368E0,-1.276679039E-1,-1.574404716E0
1.038635254E0,4.987625122E0,-9.209251404E-2,-1.221232891E0
1.043548584E0,4.842213154E0,1.324057579E-1,-8.822822571E-1
1.048492432E0,4.469336510E0,4.082612991E-1,-5.230212212E-1
1.053405762E0,3.969847679E0,4.693117142E-1,-5.689716339E-2
1.058319092E0,3.263893127E0,1.547775269E-1,2.500939369E-1
1.063262940E0,2.493001223E0,-4.346528053E-1,3.868126869E-1
1.068206787E0,1.889304519E0,-1.015169144E0,4.412498474E-1
1.073089600E0,1.400352001E0,-1.479687691E0,5.304064751E-1
1.078033448E0,1.029231071E0,-1.696408749E0,6.150650978E-1
1.082946778E0,8.145040274E-1,-1.620584488E0,6.875801086E-1
1.087860108E0,6.928082108E-1,-1.382059574E0,7.615485191E-1
1.092773438E0,6.189323664E-1,-1.153035641E0,8.738894463E-1
1.097717286E0,5.906777382E-1,-9.716086388E-1,8.546223640E-1
1.102630616E0,3.421179652E-1,-8.949813843E-1,9.972677231E-1
1.107513428E0,-4.106713831E-1,-7.145338058E-1,8.551874161E-1
1.112457276E0,-1.461537361E0,-1.787972450E-1,-2.105054855E-1
1.117401123E0,-1.774526834E0,-4.006338120E-1,4.821014404E-1
1.122314453E0,-1.676875830E0,-6.965894699E-1,1.993620872E0
1.127227784E0,-1.167780161E0,-9.834890366E-1,1.726630211E0
1.132171631E0,-4.399939775E-1,-5.127973557E-1,8.708548546E-1
1.137084961E0,3.462267518E-1,2.316126823E-1,3.368153572E-1
1.141998291E0,1.157877207E0,9.176039696E-1,3.252310753E-1
1.146942139E0,1.681456089E0,1.575781822E0,7.902426720E-1
1.151885987E0,1.965425253E0,2.062775612E0,1.291957855E0
1.156799317E0,1.836000681E0,2.305892944E0,1.519504547E0
1.161712647E0,1.326144576E0,2.311791420E0,1.666590691E0
1.166656494E0,8.175545931E-1,2.071998596E0,2.049712181E0
1.171569825E0,3.113909066E-1,1.584663391E0,2.467591286E0
1.176483155E0,-1.744470000E-2,1.031256199E0,2.915779114E0
1.181396485E0,-3.041684330E-1,5.547142029E-1,3.332279205E0
1.186340332E0,-5.559350252E-1,2.096347809E-1,3.630995750E0
1.191253662E0,-9.120771289E-1,-1.043252945E-1,3.751070976E0
1.196197510E0,-1.443269253E0,-3.560671806E-1,3.691931725E0
1.201110840E0,-1.905463457E0,-5.947728157E-1,3.526644707E0
1.206024170E0,-2.126560926E0,-7.923755646E-1,3.338641167E0
1.210937500E0,-2.264879227E0,-1.099990845E0,3.018383980E0
1.215881348E0,-2.550619841E0,-1.607024670E0,2.637179375E0
1.220794678E0,-2.692003250E0,-2.133432865E0,2.158201218E0
1.225708008E0,-2.556574821E0,-2.488743782E0,1.279528618E0
1.230621338E0,-2.241842270E0,-2.732697964E0,3.640651703E-1
1.235565186E0,-1.042006016E0,-1.877770901E0,-1.082670689E0
1.240478516E0,-9.963598847E-1,-1.918286324E0,-1.044949532E0
1.245391846E0,1.254814863E-2,-1.208101273E0,-1.483279705E0
1.250305176E0,9.097253680E-1,-6.095719337E-1,-1.997356415E0
1.255249024E0,1.653829813E0,-1.706833839E-1,-2.548221111E0
1.260162354E0,2.088810921E0,-5.429506302E-2,-2.985915661E0
1.265075684E0,2.510677576E0,-7.212781906E-2,-3.268852234E0
1.269989014E0,2.967629910E0,-1.227202415E-1,-3.365468502E0
1.274932862E0,2.944208384E0,-1.543068886E-1,-3.166874886E0
1.279846192E0,2.302034616E0,-4.643774033E-1,-2.785480499E0
1.284759522E0,1.367052197E0,-7.854719162E-1,-2.199889660E0
1.289703369E0,7.103270888E-1,-9.719810486E-1,-1.515055656E0
1.294616700E0,3.591191769E-1,-1.013274670E0,-8.626561165E-1
1.299530030E0,1.509609222E-1,-9.148364067E-1,-3.222413063E-1
1.304443360E0,3.861671686E-2,-6.711611748E-1,1.800894737E-1
1.309387207E0,1.017826796E-2,-2.232246399E-1,2.402219772E-1
1.314300537E0,-2.122850418E-1,2.158379555E-1,3.493909836E-1
1.319213868E0,-6.624262929E-1,4.039292336E-1,5.928497314E-1
1.324157715E0,-1.198377848E0,3.272027969E-1,1.050687790E0
1.329071045E0,-1.792142630E0,-8.173990250E-2,1.822616577E0
1.333984375E0,-2.195135117E0,-6.302433014E-1,2.621283531E0
1.338897705E0,-2.229312658E0,-1.077702999E0,3.022056580E0
1.343841553E0,-2.042769194E0,-1.354796410E0,3.057424545E0
1.348754883E0,-1.677363157E0,-1.411189556E0,3.010769844E0
1.353668213E0,-1.185356736E0,-1.225374699E0,3.201417923E0
1.358612061E0,-8.515753150E-1,-1.099106312E0,3.208030701E0
1.363525391E0,-9.062166214E-1,-1.052021027E0,2.743545532E0
1.368438721E0,-3.130644560E-1,-5.557074547E-1,2.189023972E0
1.373352051E0,1.146351695E-1,-9.574508667E-2,1.710247040E0
1.378295899E0,2.504180074E-1,2.069420815E-1,9.317798615E-1
1.383209229E0,1.562607288E-1,3.933405876E-1,4.787445068E-4
1.388122559E0,5.466963053E-1,6.114621162E-1,-6.103897095E-1
1.393066407E0,1.124808550E0,8.925867081E-1,-1.206099510E0
1.397979737E0,1.283917904E0,9.949989319E-1,-1.722207069E0
1.402893067E0,9.793503284E-1,8.381972313E-1,-2.033679962E0
1.407806397E0,5.185920000E-1,6.009387970E-1,-2.135401726E0
1.412750244E0,3.349026442E-1,4.798078537E-1,-1.986536980E0
1.417663575E0,3.114524484E-1,4.375171661E-1,-1.748142242E0
1.422576905E0,2.416078448E-1,3.856482506E-1,-1.307211399E0
1.427520752E0,-1.067434549E-1,3.690757751E-1,-7.471313477E-1
1.432464600E0,-5.478098392E-1,2.187728882E-1,-1.604347229E-1
1.437377930E0,-7.268509865E-1,1.887187958E-1,3.754653931E-1
1.442291260E0,-7.815474272E-1,1.620020866E-1,8.578042984E-1
1.447235108E0,-8.811986446E-1,1.365332603E-1,1.244783401E0
1.452148438E0,-9.275973439E-1,-7.325124741E-2,1.449275970E0
1.457061768E0,-8.676097989E-1,-3.225154877E-1,1.630747795E0
1.462005616E0,-5.051670671E-1,-4.350070953E-1,1.750377655E0
1.466918946E0,9.987890720E-3,-4.134011269E-1,1.802811623E0
1.471832276E0,5.552853942E-1,-3.444571495E-1,1.557778358E0
1.476745606E0,9.627274871E-1,-2.057094574E-1,1.264748573E0
1.481689453E0,1.311893344E0,-4.119539261E-2,9.645328522E-1
1.486602784E0,1.354867935E0,9.692716599E-2,6.491041183E-1
1.491516114E0,1.147676468E0,2.343707085E-1,2.780332565E-1
1.496459961E0,8.549069166E-1,3.533601761E-1,-1.596450806E-1
1.501373291E0,7.693458200E-1,4.412050247E-1,-6.453886032E-1
1.506286621E0,7.560356855E-1,4.868679047E-1,-9.778013229E-1
1.511199952E0,8.034490347E-1,5.150141716E-1,-1.238316536E0
1.516113282E0,8.704121709E-1,7.043514252E-1,-1.417823792E0
1.521057129E0,9.095072150E-1,8.732304573E-1,-1.446485043E0
1.525970459E0,8.648507595E-1,9.750132561E-1,-1.372648239E0
1.530914307E0,6.804655194E-1,8.497443199E-1,-1.150809765E0
1.535827637E0,4.390670061E-1,7.260437012E-1,-9.119439125E-1
1.540740967E0,3.758683205E-1,6.070981026E-1,-6.781320572E-1
1.545654297E0,2.781393528E-1,5.436687469E-1,-5.242047310E-1
1.550598145E0,2.679122686E-1,5.366234779E-1,-6.024761200E-1
1.555511475E0,2.921077013E-1,4.965062141E-1,-7.841243744E-1
1.560424805E0,2.969008684E-1,3.791866302E-1,-9.091744423E-1
1.565368653E0,2.985743284E-1,2.223510742E-1,-1.074272633E0
1.570281983E0,5.287386179E-1,-5.784654617E-2,-1.382122040E0
1.575195313E0,5.601494312E-1,-5.734968185E-2,-1.373030186E0
1.580108643E0,1.137091756E0,-1.620259285E-1,-1.531717777E0
1.585052491E0,1.868203640E0,-1.832990646E-1,-1.548568249E0
1.589965821E0,2.159549236E0,-3.477997780E-1,-1.551762581E0
1.594909668E0,2.166874886E0,-5.936450958E-1,-1.638523102E0
1.599822998E0,2.238924980E0,-6.790604591E-1,-1.605906487E0
1.604736328E0,2.376444340E0,-6.668519974E-1,-1.403568745E0
1.609649659E0,2.364438057E0,-6.567788124E-1,-1.068681240E0
1.614562989E0,2.332255840E0,-6.483368874E-1,-7.241473198E-1
1.619506836E0,2.165961266E0,-7.115144730E-1,-2.617101669E-1
1.624420166E0,1.877119780E0,-8.114376068E-1,8.571910858E-2
1.629333496E0,1.367689848E0,-8.105926514E-1,2.752351761E-1
1.634277344E0,9.063240290E-1,-6.252422333E-1,3.986139297E-1
1.639190674E0,6.120530367E-1,-4.196720123E-1,4.563479424E-1
1.644104004E0,7.452262640E-1,-2.314438820E-1,4.458880424E-1
1.649017334E0,9.438275099E-1,-1.975708008E-1,2.624058723E-1
1.653961182E0,1.075886607E0,-2.539863586E-1,2.130966187E-1
1.658874512E0,1.111546040E0,-3.751435280E-1,2.218675613E-2
1.663787842E0,7.813649178E-1,-5.462551117E-1,-1.546573639E-1
1.668731690E0,-7.345509529E-2,-1.322300434E0,-2.187980175E0
1.673645020E0,-2.988243103E-2,-1.860011101E0,-4.295049667E0
1.678558350E0,9.506320953E-1,-1.587036133E0,-3.263319492E0
1.683471680E0,1.954596758E0,-1.253338814E0,-2.080949783E0
1.688415528E0,2.507402420E0,-1.060902596E0,-9.231457710E-1
1.693328858E0,2.664362669E0,-1.025480747E0,2.091879845E-1
1.698242188E0,2.522422552E0,-1.106645584E0,1.145349026E0
1.703155518E0,2.263139486E0,-1.423446178E0,1.760955334E0
1.708099366E0,1.757938147E0,-1.823608398E0,2.070707798E0
1.713012696E0,1.211472988E0,-2.280714035E0,2.249059677E0
1.717956543E0,5.035617352E-1,-2.574667931E0,2.273406029E0
1.722900391E0,-1.653714180E-1,-2.782508850E0,2.390478611E0
1.727813721E0,-7.934474945E-1,-2.792374134E0,2.559357166E0
1.732727051E0,-1.479670525E0,-2.808153629E0,2.366070271E0
1.737640381E0,-1.802577496E0,-2.752931595E0,1.526599884E0
1.742584229E0,-1.488398075E0,-2.125341892E0,1.152575493E0
1.747497559E0,-1.231612206E0,-1.574016094E0,1.082281590E0
1.752410889E0,-1.039844036E0,-1.379971981E0,7.626500130E-1
1.757354737E0,-8.851661682E-1,-1.543077946E0,2.729578018E-1
1.762268067E0,-6.422524452E-1,-2.006945610E0,-2.970523834E-1
1.767181397E0,-2.409620285E-1,-2.554569721E0,-7.481236458E-1
1.772094727E0,1.692423820E-1,-2.979806423E0,-1.087670803E0
1.777038575E0,3.020048141E-1,-3.113799095E0,-1.023324013E0
1.781951905E0,3.499722481E-1,-2.955803394E0,-4.621706009E-1
1.786865235E0,1.041223049E0,-2.716639996E0,-1.557669640E-1
1.791809082E0,1.715258598E0,-2.474195957E0,2.207603455E-1
1.796722412E0,2.147241592E0,-2.143940210E0,6.556706429E-1
1.801635743E0,2.243083000E0,-1.942399263E0,1.148305416E0
1.806549073E0,2.210951805E0,-1.812860012E0,1.772444725E0
1.811492920E0,1.935785770E0,-1.811360121E0,2.376379967E0
1.816406250E0,1.496780396E0,-1.796419382E0,2.818926811E0
1.821319580E0,9.201579094E-1,-1.792002916E0,3.043836594E0
1.826263428E0,4.019641876E-1,-1.824215412E0,3.118891716E0
1.831176758E0,1.647186279E-2,-1.862582445E0,3.107781410E0
1.836120606E0,-1.555824280E-1,-1.865572453E0,3.099070072E0
1.841003418E0,-3.392786980E-1,-1.753254175E0,2.827052116E0
1.845947266E0,-5.901541710E-1,-1.614086151E0,2.370027065E0
1.850860596E0,-8.204441071E-1,-1.478429079E0,1.631293297E0
1.855773926E0,-1.057042122E0,-1.216523647E0,8.046984673E-1
1.860717774E0,-1.202624798E0,-8.971259594E-1,-2.944135666E-2
1.865631104E0,-1.330472469E0,-4.733369350E-1,-8.601937294E-1
1.870544434E0,-1.410309792E0,-6.995987892E-2,-1.616936684E0
1.875488282E0,-1.591332436E0,3.108618259E-1,-2.318019390E0
1.880401612E0,-2.134910583E0,8.249511719E-1,-2.260851860E0
1.885314942E0,-2.201803684E0,9.665784836E-1,-2.113317966E0
1.890228272E0,-2.036770821E0,9.451918602E-1,-2.051421165E0
1.895172119E0,-1.682515144E0,8.451256752E-1,-2.218972921E0
1.900085450E0,-1.378314018E0,6.974060535E-1,-2.356449127E0
1.905029297E0,-6.242895126E-1,1.971855164E-1,-2.776003838E0
1.909912110E0,-5.585336685E-1,2.429161072E-1,-2.634284496E0
1.914855957E0,1.822566986E-1,-7.145547867E-2,-2.862164736E0
1.919769287E0,1.105536461E0,-2.986502647E-1,-3.159809113E0
1.924713135E0,2.010862350E0,-3.503425121E-1,-3.446840763E0
1.929626465E0,2.762639999E0,-1.792795658E-1,-3.350286722E0
1.934539795E0,3.400833130E0,-1.939845085E-2,-2.942653418E0
1.939453125E0,3.792967796E0,1.578037739E-1,-2.275979042E0
1.944366455E0,4.086645126E0,2.921516895E-1,-1.309623957E0
1.949310303E0,4.270562172E0,3.969776630E-1,-4.890496731E-1
1.954226217E0,4.193287849E0,4.906024933E-1,6.344711781E-2
1.959170065E0,3.961709023E0,4.680709839E-1,5.157787800E-1
1.964083395E0,3.471107483E0,4.374995232E-1,8.291494846E-1
1.968996725E0,2.765636444E0,4.743862152E-1,1.059030890E0
