"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
0.000000000E0,-4.379577637E1,1.215057373E1,-1.480407715E1
1.980590800E-2,-4.381713867E1,1.145782471E1,-1.622314453E1
3.979492200E-2,-4.238586426E1,1.146850586E1,-1.693878174E1
6.018066400E-2,-4.456329346E1,8.671569824E0,-1.689910889E1
7.983398400E-2,-4.309692383E1,1.146240234E1,-1.622467041E1
9.976196300E-2,-4.309234619E1,1.076354980E1,-1.549987793E1
1.197509760E-1,-4.164428711E1,1.216430664E1,-1.552124023E1
1.401062010E-1,-4.237670898E1,1.007080078E1,-1.549224854E1
1.600036620E-1,-4.382171631E1,9.367370605E0,-1.548004150E1
1.797180170E-1,-4.308776855E1,1.145935059E1,-1.550903320E1
1.997375490E-1,-4.308929443E1,1.285552979E1,-1.624298096E1
2.196960450E-1,-4.236297607E1,1.076507568E1,-1.478729248E1
2.396850580E-1,-4.453735352E1,1.006011963E1,-1.548919678E1
2.596740720E-1,-4.164276123E1,1.076812744E1,-1.478729248E1
2.796630860E-1,-4.235076904E1,1.145935059E1,-1.408233643E1
2.996520990E-1,-4.234619141E1,1.215515137E1,-1.409149170E1
3.199462890E-1,-8.014984131E1,3.433227539E0,-2.820892334E1
3.396911620E-1,-8.157806396E1,4.119873047E0,-2.750244141E1
3.596496580E-1,-8.158264160E1,4.818725586E0,-2.822570801E1
3.796691890E-1,-8.230743408E1,4.118347168E0,-2.821502686E1
3.996276850E-1,-8.230285645E1,3.419494629E0,-2.749176025E1
4.195861810E-1,-8.015899658E1,2.040100098E0,-2.819061279E1
4.395751950E-1,-8.159942627E1,3.427124023E0,-2.892150879E1
4.595642090E-1,-8.158264160E1,3.422546387E0,-2.749328613E1
4.799499510E-1,-8.373413086E1,3.408813477E0,-2.677612305E1
4.996337890E-1,-8.302307129E1,3.414916992E0,-2.749176025E1
5.195617670E-1,-8.229827881E1,2.720642090E0,-2.676849365E1
5.395202630E-1,-8.303527832E1,2.720642090E0,-2.819671631E1
5.595397950E-1,-8.305358887E1,2.726745605E0,-2.962493896E1
5.794982910E-1,-7.941741943E1,2.734375000E0,-2.677154541E1
5.994873040E-1,-8.158721924E1,4.121398926E0,-2.821655273E1
6.194763180E-1,-8.087005615E1,3.428649902E0,-2.820892334E1
6.398010250E-1,-8.015441895E1,2.735900879E0,-2.819976807E1
6.596374510E-1,-3.992614746E1,1.159362793E1,-1.720581055E1
6.794433590E-1,-3.992156982E1,1.229095459E1,-1.721496582E1
6.994628900E-1,-3.848114014E1,1.229858398E1,-1.721649170E1
7.194519040E-1,-3.849792480E1,1.230316162E1,-1.864471436E1
7.394409180E-1,-3.921813965E1,1.229858398E1,-1.864471436E1
7.593994140E-1,-3.850708008E1,1.230468750E1,-1.935882568E1
7.793884280E-1,-3.777465820E1,1.300354004E1,-1.865539551E1
7.997131350E-1,-3.780059814E1,1.161499023E1,-2.006530762E1
8.196105960E-1,-3.847656250E1,1.578521729E1,-1.869201660E1
8.393554690E-1,-3.846435547E1,1.508331299E1,-1.725311279E1
8.593444820E-1,-3.701934814E1,1.578674316E1,-1.726531982E1
8.793334960E-1,-3.845520020E1,1.368560791E1,-1.580657959E1
8.993225100E-1,-3.989562988E1,1.507415771E1,-1.653747559E1
9.193115230E-1,-3.772735596E1,1.647796631E1,-1.655883789E1
9.393310540E-1,-3.843383789E1,1.716766357E1,-1.585235596E1
9.592895510E-1,-3.699798584E1,1.647949219E1,-1.584472656E1
9.795837400E-1,-3.842163086E1,1.646728516E1,-1.441497803E1
9.992980960E-1,-4.136047363E1,1.122131348E1,-1.363525391E1
1.019287109E0,-3.924865723E1,1.054840088E1,-1.719970703E1
1.039276123E0,-3.785095215E1,7.777404785E0,-1.930847168E1
1.059234619E0,-3.572082520E1,7.098388672E0,-2.144470215E1
1.079254150E0,-3.357696533E1,7.115173340E0,-2.287597656E1
1.099243164E0,-3.427886963E1,7.106018066E0,-2.144622803E1
1.119232178E0,-3.572845459E1,8.496093750E0,-2.289123535E1
1.139587402E0,-3.499603271E1,9.193420410E0,-2.218780518E1
1.159271240E0,-3.570251465E1,1.127929688E1,-2.221527100E1
1.179168701E0,-3.572540283E1,9.191894531E0,-2.290039062E1
1.199157715E0,-3.500518799E1,9.196472168E0,-2.290191650E1
1.219146728E0,-3.500061035E1,9.892272949E0,-2.291107178E1
1.239166260E0,-3.426666260E1,9.194946289E0,-2.147369385E1
1.259124756E0,-3.712158203E1,9.173583984E0,-1.932678223E1
1.279113769E0,-3.602447510E1,9.532165527E0,-2.138824463E1
1.299438476E0,-3.530426025E1,8.140563965E0,-2.065582275E1
1.319244385E0,-3.330230713E1,8.004760742E0,-2.320709229E1
1.339080810E0,-3.271179199E1,8.102416992E0,-1.909942627E1
1.359100342E0,-3.057708740E1,6.726074219E0,-2.051239014E1
1.379058838E0,-2.983856201E1,6.724548340E0,-1.908416748E1
1.399047851E0,-3.197784424E1,8.799743652E0,-1.839599609E1
1.419036865E0,-3.196563721E1,8.099365234E0,-1.695709229E1
1.439025879E0,-3.054656982E1,7.414245605E0,-1.837921143E1
1.459350586E0,-3.054199219E1,6.715393066E0,-1.765594482E1
1.479217529E0,-2.982940674E1,6.721496582E0,-1.837005615E1
1.499023437E0,-2.984313965E1,7.423400879E0,-1.980895996E1
1.519042969E0,-2.910461426E1,6.027221680E0,-1.764831543E1
1.539001465E0,-2.838134766E1,6.727600098E0,-1.765747070E1
1.558990478E0,-2.914428711E1,5.340576172E0,-2.049560547E1
1.578948974E0,-2.696533203E1,2.555847168E0,-1.760406494E1
1.598937988E0,-2.692565918E1,4.492187500E0,-2.090606689E1
1.619323730E0,-2.549285889E1,4.502868652E0,-2.162170410E1
1.639190674E0,-2.407379150E1,2.423095703E0,-2.230987549E1
1.658905029E0,-2.634277344E1,1.557922363E0,-2.258453369E1
1.678955078E0,-2.633361816E1,2.951049805E0,-2.260284424E1
1.698913574E0,-2.565612793E1,1.571655273E0,-2.544250488E1
1.718902588E0,-2.493286133E1,2.270507812E0,-2.545318604E1
1.738861084E0,-2.423706055E1,8.865356445E-1,-2.686309814E1
1.759796142E0,-2.425079346E1,1.588439941E0,-2.830200195E1
1.778839111E0,-2.136077881E1,2.044677734E-1,-2.685699463E1
1.799194336E0,-2.137756348E1,-1.185607910E0,-2.755279541E1
1.818847656E0,-1.995544434E1,-1.173400879E0,-2.898406982E1
1.838806152E0,-1.851043701E1,-1.864624023E0,-2.826232910E1
1.858825683E0,-1.710357666E1,-3.242492676E0,-3.038787842E1
1.878784179E0,-1.637115479E1,-3.939819336E0,-2.895050049E1
1.898773193E0,-1.422729492E1,-5.319213867E0,-2.964935303E1
1.918762207E0,-1.285247803E1,-3.640747070E0,-3.092651367E1
1.938751221E0,-9.992980957E0,-8.503723145E0,-3.014984131E1
1.959167480E0,-6.369018555E0,-1.058349609E1,-2.726898193E1
1.978851318E0,-2.789306641E0,-1.265258789E1,-2.796020508E1
1.998748779E0,-4.423522949E0,-1.403656006E1,-2.319641113E1
2.018768310E0,-1.542663574E0,-1.402282715E1,-2.319946289E1
2.038973531E0,6.195068359E-1,-1.680145264E1,-2.173614502E1
